Vrsta aktivnosti,Datum,Favorit,Naslov,Udaljenost,Kalorije,Vrijeme,Prosječni puls,Maksimalni puls,Aerobno TE,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Prosječan tempo,Najbolji tempo,Ukupni uspon,Ukupni silazak,Prosječna dužina koraka,Prosječan omjer vertikalne oscilacije,Prosječna okomita oscilacija,Prosječno vrijeme dodira s tlom,Prosječan balans za VDT,Prosječni tempo prilagođen nagibu,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Normalized Power® (NP®),Balans lijevo/desno,Training Stress Score®,Maksimalna prosječna snaga (20 min),Prosječna snaga,Maksimalna snaga,Težina,Tok,Ukupno zaveslaja,Prosječan Swolf,Prosječna brzina zaveslaja,Ukupno ponavljanja,Vrijeme ronjenja,Minimalna temperatura,Interval na površini,Dekompresija,Vrijeme najbolje dionice,Broj dionica,Maksimalna temperatura,Vrijeme kretanja,Proteklo vrijeme,Min. nadmorska visina,Maks. nadmorska visina
Trčanje,2024-02-04 11:00:28,false,"Pican Trčanje","5.93","336","00:22:10","165","181","3.4","175","191","3:44","3:09","36","35","1.52","6.7","10.3","216","--","3:44","--","--","422","--","0.0","--","418","495","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:23.74","6","0.0","00:22:08","00:22:10","27","40"
Trčanje,2024-02-03 13:42:50,false,"Tinjan Trčanje","10.97","685","00:53:37","145","162","3.2","167","178","4:53","4:10","134","130","1.21","8.1","9.8","251","--","4:50","--","--","337","--","0.0","--","333","476","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:51.42","12","0.0","00:53:32","01:04:14","264","336"
Dvoranski biciklizam,2024-02-02 20:09:56,false,"Base","34.11","757","01:07:03","123","136","2.5","--","--","30.5","33.3","--","--","0.00","0.0","0.0","0","--","--","87","132","164","--","88.7","164","165","308","0.0","0.0","5892","0","0","0","0:00","0.0","0:00","Ne","00:02.63","8","0.0","01:06:59","01:14:03","--","--"
Trčanje,2024-01-31 12:47:25,false,"Rijeka - Threshold","9.34","578","00:41:06","154","179","3.7","168","186","4:24","3:46","61","89","1.34","7.6","10.1","239","--","4:23","--","--","368","--","0.0","--","361","515","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:05.61","12","0.0","00:40:56","00:49:48","23","117"
Trčanje,2024-01-30 16:19:05,false,"Rijeka Trčanje","7.14","488","00:38:32","150","174","3.2","163","186","5:24","4:14","258","262","1.12","8.5","9.5","261","--","5:01","--","--","361","--","0.0","--","317","582","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:02.64","17","0.0","00:38:22","00:46:27","106","221"
Dvoranski biciklizam,2024-01-28 12:23:05,false,"Base","35.11","688","01:08:04","121","133","2.5","--","--","30.9","33.2","--","--","0.00","0.0","0.0","0","--","--","91","156","146","--","70.5","146","145","261","0.0","0.0","6239","0","0","0","0:00","0.0","0:00","Ne","00:04.41","9","0.0","01:08:02","01:08:04","--","--"
Terensko trčanje,2024-01-27 10:12:06,false,"Fazana Terensko trčanje","22.76","1,691","02:26:07","152","185","4.6","131","193","6:25","3:31","166","169","1.17","8.1","9.3","254","--","6:18","--","--","300","--","0.0","--","244","461","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:07.37","23","0.0","02:04:14","02:26:10","2","92"
Trčanje,2024-01-25 15:42:53,false,"Rijeka Trčanje","8.08","581","00:44:54","149","177","3.4","157","238","5:34","3:49","287","272","1.15","8.2","9.2","254","--","5:12","--","--","358","--","0.0","--","306","626","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:19.79","24","0.0","00:44:07","00:57:03","53","119"
Trčanje,2024-01-23 15:36:29,false,"Rijeka Trčanje","7.33","474","00:37:40","142","162","3.0","162","179","5:08","4:03","158","151","1.19","8.3","9.8","256","--","4:56","--","--","336","--","0.0","--","326","474","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:49.50","8","0.0","00:37:25","00:41:59","4","119"
Trčanje,2024-01-21 15:46:37,false,"Tar-Vabriga - 5x6min","11.02","697","00:53:51","148","173","3.5","156","180","4:53","3:40","120","116","1.29","7.5","9.5","237","--","4:49","--","--","365","--","0.0","--","328","532","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:38.45","18","0.0","00:52:33","00:53:51","4","34"
Trčanje,2024-01-20 13:32:25,false,"Porec Trčanje","9.12","549","00:45:33","139","154","3.0","163","178","5:00","4:18","95","107","1.21","8.1","9.8","253","--","4:58","--","--","335","--","0.0","--","328","479","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:54.21","10","0.0","00:45:19","01:01:37","69","138"
Dvoranski biciklizam,2024-01-19 18:12:38,false,"Threshold","26.12","688","01:00:03","130","157","3.0","--","--","26.1","32.6","--","--","0.00","0.0","0.0","0","--","--","87","142","188","--","104.1","174","168","309","0.0","0.0","4990","0","0","0","0:00","0.0","0:00","Ne","03:03.01","8","0.0","00:56:51","01:04:43","--","--"
Trčanje,2024-01-18 12:30:15,false,"Rijeka Trčanje","8.14","580","00:46:45","152","184","3.3","156","196","5:44","3:12","200","205","1.10","8.2","8.8","254","--","5:34","--","--","354","--","0.0","--","287","680","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:36.16","24","0.0","00:46:12","00:48:04","106","174"
Trčanje,2024-01-16 18:41:23,false,"Rijeka Trčanje","7.28","461","00:37:46","139","165","2.8","164","178","5:11","3:53","76","103","1.16","8.4","9.7","260","--","5:11","--","--","320","--","0.0","--","310","442","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:25.74","8","0.0","00:37:39","00:43:36","45","132"
Trčanje,2024-01-14 11:00:04,false,"Marcana Trčanje","7.17","497","00:32:05","171","184","3.9","168","182","4:28","3:19","189","188","1.32","7.7","9.9","239","--","4:14","--","--","388","--","0.0","--","371","559","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:41.95","8","0.0","00:32:01","00:32:05","8","196"
Trčanje,2024-01-13 13:32:13,false,"Porec Trčanje","8.01","505","00:38:49","144","163","3.1","167","176","4:51","4:23","92","94","1.22","8.1","9.9","251","--","4:48","--","--","353","--","0.0","--","347","444","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:03.49","9","0.0","00:38:46","00:39:34","55","99"
Dvoranski biciklizam,2024-01-12 20:19:35,false,"Base","36.77","730","01:08:03","119","135","2.5","--","--","32.4","35.2","--","--","0.00","0.0","0.0","0","--","--","91","145","156","--","81.0","158","155","286","0.0","0.0","6203","0","0","0","0:00","0.0","0:00","Ne","00:03.38","9","0.0","01:08:02","01:11:18","--","--"
Trčanje,2024-01-11 13:12:46,false,"Rijeka - 5x6min","12.00","775","00:56:37","151","173","3.8","161","235","4:43","3:24","87","109","1.30","7.5","9.5","236","--","4:41","--","--","363","--","0.0","--","334","511","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:17.74","20","0.0","00:56:24","01:13:46","6","117"
Trčanje,2024-01-09 17:49:30,false,"Rijeka Trčanje","7.09","449","00:36:47","141","163","3.0","166","176","5:11","4:17","145","163","1.15","8.3","9.5","256","--","5:04","--","--","331","--","0.0","--","318","469","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:36.08","8","0.0","00:36:32","00:40:54","86","235"
Trčanje,2024-01-07 12:55:55,false,"Porec Trčanje","11.01","705","00:56:10","143","162","3.2","169","178","5:06","4:29","130","129","1.15","8.2","9.5","254","--","5:04","--","--","320","--","0.0","--","316","417","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:02.60","12","0.0","00:56:05","01:00:59","28","101"
