Vrsta aktivnosti,Datum,Favorit,Naslov,Udaljenost,Kalorije,Vrijeme,Prosječni puls,Maksimalni puls,Aerobno TE,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Prosječan tempo,Najbolji tempo,Ukupni uspon,Ukupni silazak,Prosječna dužina koraka,Prosječan omjer vertikalne oscilacije,Prosječna okomita oscilacija,Prosječno vrijeme dodira s tlom,Prosječan balans za VDT,Prosječni tempo prilagođen nagibu,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Normalized Power® (NP®),Balans lijevo/desno,Training Stress Score®,Maksimalna prosječna snaga (20 min),Prosječna snaga,Maksimalna snaga,Težina,Tok,Ukupno zaveslaja,Prosječan Swolf,Prosječna brzina zaveslaja,Ukupno ponavljanja,Vrijeme ronjenja,Minimalna temperatura,Interval na površini,Dekompresija,Vrijeme najbolje dionice,Broj dionica,Maksimalna temperatura,Vrijeme kretanja,Proteklo vrijeme,Min. nadmorska visina,Maks. nadmorska visina
Terensko trčanje,2024-03-23 10:05:37,false,"Motovun Terensko trčanje","20.88","1,585","02:14:57","155","171","4.2","137","231","6:28","3:37","636","636","1.11","8.4","9.2","265","--","5:53","--","--","307","--","0.0","--","261","539","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","04:36.47","21","0.0","02:05:03","02:14:57","15","338"
Terensko trčanje,2024-03-19 16:45:27,false,"Kastav Terensko trčanje","13.50","913","01:16:03","142","159","3.3","163","182","5:38","4:19","343","312","1.08","8.7","9.4","266","--","5:23","--","--","316","--","0.0","--","301","475","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:04.04","14","0.0","01:15:43","01:25:19","319","476"
